# glossaire_classifie.csv V1.0.0 - 28/12/2025 10:07:17
type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn
o;lateraux cephs;lateral cephs;;;;側頭類;;;;;;
a;latéral;lateral;;;;側面;;;;;;
a;latérale;lateral;;;;側面;;;;;;
a;latérales;lateral;;;;側面;;;;;;
a;latéraux;lateral;;;;側面;;;;;;
o;latérodéviation mandibulaire;mandibular lateroeviation;;;;下顎後屈;;;;;;
o;latérodéviation maxillaire;maxillary laterodeviation;;;;上顎後頭偏位;;;;;;
t;ligature;ligation;;;;ライゲーション;;;;;;
pt;ligature colorée;coloured ligature;;;;カラーリガチャー;;;;;;
o;ligatures colorées;coloured ligatures;;;;カラー合字;;;;;;
pt;ligatures métalliques;metal ligatures;;;;メタルリガチャー;;;;;;
pt;ligatures élastiques;elastic ligatures;;;;エラスティック・リガチャー;;;;;;
pt;limage;filing;;;;ファイリング;;;;;;
o;limages;limages;;;;檻;;;;;;
t;linguo-version;linguo-version;;;;言語バージョン;;;;;;
pt;linguoversion;linguoversion;;;;言語オーバージョン;;;;;;
pt;loose bracket;loose bracket;;;;ルーズブラケット;;;;;;
o;looses brackets;looses brackets;;;;ブラケットを失う;;;;;;
t;luxation;dislocation;;;;転位;;;;;;
pt;luxation atm;tmj dislocation;;;;脱臼アトム;;;;;;
pt;luxation discale;disc dislocation;;;;椎間板脱臼;;;;;;
t;luxation méniscale;meniscal dislocation;;;;半月板脱臼;;;;;;
o;luxations atms;tmj dislocations;;;;顎関節脱臼;;;;;;
o;luxations discales;dislocated discs;;;;椎間板脱臼;;;;;;
pa;léger;light;;;;ライト;;;;;;
pa;légers;light;;;;ライト;;;;;;
o;légère;slight;;;;軽い;;;;;;
o;légères;slight;;;;軽い;;;;;;
pt;lésion carieuse;carious lesion;;;;う蝕;;;;;;
o;lésions carieuses;carious lesions;;;;齲蝕病変;;;;;;
t;macrodontie;macrodontia;;;;マクロどんてき;;;;;;
t;macrognathie;macrognathy;;;;マクログナシー;;;;;;
pt;maintenance;maintenance;;;;メンテナンス;;;;;;
o;maintenances;maintenance;;;;メンテナンス;;;;;;
t;mainteneur d'espace;space maintainer;;;;スペースメンテナー;;;;;;
pt;maintien;maintenance;;;;メンテナンス;;;;;;
o;maintienne;maintain;;;;維持する;;;;;;
o;maintiennes;hold;;;;ホールド;;;;;;
o;maintiens;support;;;;サポート;;;;;;
pa;majeur;major;;;;メジャー;;;;;;
pa;majeure;major;;;;メジャー;;;;;;
pa;majeures;major;;;;メジャー;;;;;;
pa;majeurs;major;;;;メジャー;;;;;;
pt;mal;badly;;;;ひどく;;;;;;
pt;mal placée;misplaced;;;;筋違い;;;;;;
pt;maladie articulaire dégénérative;degenerative joint disease;;;;変性関節疾患;;;;;;
pt;maladie des gencives;gum disease;;;;歯周病;;;;;;
t;maladie parodontale;periodontal disease;;;;歯周病;;;;;;
o;maladies articulaires dégénératives;degenerative joint diseases;;;;変性関節疾患;;;;;;
o;maladies des gencives;gum disease;;;;歯周病;;;;;;
o;male;male;;;;男性;;;;;;
o;males;males;;;;男性;;;;;;
pt;malformation;malformation;;;;奇形;;;;;;
o;malformationne;malformation;;;;奇形;;;;;;
o;malformationnes;malformations;;;;奇形;;;;;;
o;malformations;malformations;;;;奇形;;;;;;
t;malocclusion;malocclusion;;;;不正咬合;;;;;;
pt;malocclusion dentaire;dental malocclusion;;;;歯列不正;;;;;;
o;malocclusions dentaires;dental malocclusions;;;;歯列不正;;;;;;
pt;maloclusion;maloclusion;;;;不正流出;;;;;;
o;maloclusionne;maloclusionne;;;;マロクリュージョンヌ;;;;;;
o;maloclusionnes;maloclusionnes;;;;マロクリュージョンネス;;;;;;
o;maloclusions;maloclusions;;;;不正出血;;;;;;
t;malposition;malposition;;;;誤位置;;;;;;
pt;malposition dentaire;dental malposition;;;;歯列不正;;;;;;
pt;malposition rotationnelle;rotational malposition;;;;回転位置異常;;;;;;
o;malpositionne;malpositionne;;;;マルポジション;;;;;;
o;malpositionnes;malpositionnes;;;;マルポジションネス;;;;;;
o;malpositions;malpositions;;;;へた;;;;;;
o;malpositions rotationnelles;rotational malposition;;;;回転位置異常;;;;;;
a;mandibulaire;mandibular;;;;下顎骨;;;;;;
a;mandibulaires;mandibular;;;;下顎骨;;;;;;
pt;mandibule avancée;advanced mandible;;;;高度下顎骨;;;;;;
pt;mandibule en arrière;mandible backwards;;;;下顎後方;;;;;;
pt;mandibule en avant;mandible forward;;;;下顎前方;;;;;;
pt;mandibule en retrait;recessed mandible;;;;下顎後退;;;;;;
pt;mandibule proéminente;prominent mandible;;;;出っ歯;;;;;;
pt;mandibule reculée;receded mandible;;;;下顎後退;;;;;;
o;mandibules avancées;advanced mandibles;;;;高度な大あご;;;;;;
o;mandibules ens arrières;mandibles ens arrières;;;;顎関節;;;;;;
o;mandibules ens avants;front mandibles;;;;前大あご;;;;;;
o;mandibules ens retraits;mandibles ens retractions;;;;大あごの後退;;;;;;
o;mandibules proéminentes;prominent mandibles;;;;大あご;;;;;;
o;mandibules reculées;retracted mandibles;;;;後退した大あご;;;;;;
pt;manque de place;lack of space;;;;スペース不足;;;;;;
o;manques des places;missing places;;;;欠所;;;;;;
pa;marqué;marked;;;;マーク;;;;;;
pa;marquée;marked;;;;マーク;;;;;;
pa;marquées;marked;;;;マーク;;;;;;
pa;marqués;marked;;;;マーク;;;;;;
t;mastication;chewing;;;;咀嚼;;;;;;
pt;mastiquer;chew;;;;噛む;;;;;;
o;mastiquers;masticators;;;;咀嚼機;;;;;;
o;mastiquère;screen;;;;スクリーン;;;;;;
o;mastiquères;chews;;;;噛む;;;;;;
pt;maturation;maturation;;;;成熟;;;;;;
o;maturationne;maturationne;;;;マチュレ;;;;;;
o;maturationnes;maturationnes;;;;成熟度;;;;;;
o;maturations;maturations;;;;成熟;;;;;;
pt;mauvais engrènement;poor meshing;;;;かみ合わせの悪さ;;;;;;
o;mauvais engrènements;poor gearing;;;;ギアリングが悪い;;;;;;
pt;mauvaise occlusion;bad bite;;;;悪い噛み合わせ;;;;;;
pt;mauvaise position linguale;poor lingual position;;;;舌の位置が悪い;;;;;;
o;mauvaises occlusions;bad occlusions;;;;悪い咬合;;;;;;
o;mauvaises positions linguales;incorrect lingual positions;;;;誤った舌位;;;;;;
o;maux;ailments;;;;病気;;;;;;
o;maux placées;aches placed;;;;配置された痛み;;;;;;
a;maxillaire;maxilla;;;;上顎骨;;;;;;
pt;maxillaire avancé;advanced maxilla;;;;高度な上顎骨;;;;;;
pt;maxillaire en arrière;maxilla backwards;;;;上顎後方;;;;;;
pt;maxillaire en avant;maxilla forward;;;;上顎前方;;;;;;
pt;maxillaire en retrait;recessed maxilla;;;;凹型上顎骨;;;;;;
pt;maxillaire proéminent;prominent maxilla;;;;隆起した上顎;;;;;;
pt;maxillaire reculé;receded maxilla;;;;後退した上顎;;;;;;
a;maxillaires;maxilla;;;;上顎骨;;;;;;
o;maxillaires avancés;advanced maxillae;;;;高度な上顎骨;;;;;;
o;maxillaires ens arrières;maxillary ens posterior;;;;顎関節後面;;;;;;
o;maxillaires ens avants;maxillae ens avants;;;;上顎骨;;;;;;
o;maxillaires ens retraits;recessed jaws;;;;埋め込み式ジョー;;;;;;
o;maxillaires proéminents;prominent jaws;;;;出っ歯;;;;;;
o;maxillaires reculés;set-back jaws;;;;セットバック ジョー;;;;;;
o;mesure anb;anb measure;;;;ANB措置;;;;;;
o;mesure de wits;wits measurement;;;;ウィッツ測定;;;;;;
o;mesure sna;ans measure;;;;ANSメジャー;;;;;;
o;mesure snb;snb measure;;;;SNBの措置;;;;;;
o;mesures anbs;anb measures;;;;ANB対策;;;;;;
o;mesures snas;sna measures;;;;SNA対策;;;;;;
o;mesures snbs;snb measures;;;;SNBの措置;;;;;;
pt;meulage;grinding;;;;研磨;;;;;;
o;meulages;grinding;;;;研磨;;;;;;
t;microdontie;microdontia;;;;小耳症;;;;;;
t;micrognathie;micrognathia;;;;小顎症;;;;;;
pt;mini implant;mini implant;;;;ミニインプラント;;;;;;
pt;mini-vis;mini-screw;;;;ミニスクリュー;;;;;;
o;mini-visse;mini screw;;;;ミニスクリュー;;;;;;
o;mini-visses;mini screws;;;;ミニスクリュー;;;;;;
o;minis implants;mini implants;;;;ミニインプラント;;;;;;
t;minivis;minivis;;;;ミニヴィス;;;;;;
pt;mixed dentition;mixed dentition;;;;混合歯列;;;;;;
o;mixeds dentitions;mixeds dentitions;;;;混合歯列;;;;;;
a;modéré;moderate;;;;控えめ;;;;;;
a;modérée;moderate;;;;控えめ;;;;;;
a;modérées;moderate;;;;控えめ;;;;;;
a;modérés;moderate;;;;控えめ;;;;;;
t;molaire;molar;;;;大臼歯;;;;;;
pt;molaire de douze ans;twelve-year-old molar;;;;12歳臼歯;;;;;;
pt;molaire de six ans;six-year-old molar;;;;六歳臼歯;;;;;;
o;molaires des douzes ans;twelve-year-old molars;;;;12歳臼歯;;;;;;
o;molaires des six ans;six-year-old molars;;;;6歳臼歯;;;;;;
pt;monitoring;monitoring;;;;モニタリング;;;;;;
o;monitorings;monitoring;;;;モニタリング;;;;;;
o;monitoringue;monitoringue;;;;モニタリング;;;;;;
o;monitoringues;monitoring;;;;モニタリング;;;;;;
pt;monobloc;monobloc;;;;モノブロック;;;;;;
o;monoblocs;monoblocs;;;;モノブロック;;;;;;
o;monobloque;monobloc;;;;モノブロック;;;;;;
o;monobloques;monoblock;;;;モノブロック;;;;;;
pt;morsure béante;gaping bite;;;;ぽかん;;;;;;
pt;morsure croisée;cross bite;;;;クロスバイト;;;;;;
pt;morsure inversée;reverse bite;;;;リバースバイト;;;;;;
pt;morsure ouverte;open bite;;;;オープンバイト;;;;;;
pt;morsure profonde;deep bite;;;;深噛み;;;;;;
o;morsures béantes;gaping bites;;;;ぽかん;;;;;;
o;morsures croisées;cross bites;;;;クロスバイト;;;;;;
o;morsures inversées;reverse bites;;;;逆バイト;;;;;;
o;morsures ouvertes;open bites;;;;オープンバイト;;;;;;
o;morsures profondes;deep bites;;;;ディープ・バイト;;;;;;
pt;mort pulpaire;pulp death;;;;パルプ死;;;;;;
o;morts pulpaires;pulp deaths;;;;パルプ死;;;;;;
pt;moulage;moulding;;;;成形;;;;;;
o;moulages;moulds;;;;金型;;;;;;
pt;mouth breathing;mouth breathing;;;;口呼吸;;;;;;
o;mouths breathings;mouths breathings;;;;口呼吸;;;;;;
pt;mouvement;movement;;;;ムーブメント;;;;;;
pt;mouvement corporel;body movement;;;;身のこなし;;;;;;
pt;mouvement d'intrusion;intrusion movement;;;;侵入の動き;;;;;;
pt;mouvement de distalisation;distancing movement;;;;ディスタンス運動;;;;;;
pt;mouvement de mésialisation;mesialization movement;;;;中耳化運動;;;;;;
pt;mouvement de version;version movement;;;;バージョン移動;;;;;;
o;mouvemente;movement;;;;ムーブメント;;;;;;
o;mouvementes;movements;;;;動き;;;;;;
o;mouvements;movements;;;;動き;;;;;;
o;mouvements corporels;body movements;;;;身のこなし;;;;;;
o;mouvements d'intrusions;intrusion movements;;;;乱入の動き;;;;;;
o;mouvements des distalisations;distal movements;;;;遠位の動き;;;;;;
o;mouvements des mésialisations;mesialization movements;;;;中耳化運動;;;;;;
o;mouvements des versions;version movements;;;;バージョンの動き;;;;;;
pt;mâcher;chew;;;;噛む;;;;;;
o;mâchers;chewing;;;;咀嚼;;;;;;
pt;mâchoire trop grande;jaw too big;;;;顎が大きすぎる;;;;;;
pt;mâchoire trop petite;jaw too small;;;;顎が小さすぎる;;;;;;
o;mâchoires trops grandes;jaws too large;;;;顎が大きすぎる;;;;;;
o;mâchoires trops petites;jaws too small;;;;顎が小さすぎる;;;;;;
o;mâchère;jaw;;;;顎;;;;;;
o;mâchères;jaws;;;;顎;;;;;;
pt;mégalodontie;megalodontics;;;;メガロドンティックス;;;;;;
o;mégalodonties;megalodontia;;;;メガロドンティア;;;;;;
t;mésialisation;mesialization;;;;中耳化;;;;;;
pt;mésio-occlusion;mesio-occlusion;;;;中間咬合;;;;;;
o;mésio-occlusionne;mesio-occlusionne;;;;メシオ・オクルージョン;;;;;;
o;mésio-occlusionnes;mesio-occlusal;;;;中胚葉性;;;;;;
o;mésio-occlusions;mesio-occlusions;;;;中間卵巣;;;;;;
pt;mésiocclusion;mesiocclusion;;;;正中咬合;;;;;;
pt;mésiocclusion dentaire;dental mesiocclusion;;;;歯科的中咬合;;;;;;
o;mésiocclusionne;mesiocclusionne;;;;メシオコンクリュージョン;;;;;;
o;mésiocclusionnes;mesiocclusions;;;;中黄咬合;;;;;;
o;mésiocclusions;mesiocclusions;;;;中黄咬合;;;;;;
o;mésiocclusions dentaires;dental mesiocclusions;;;;歯性中咬合;;;;;;
pt;mésiodens;mesiodens;;;;中間膜;;;;;;
o;mésiodensse;mesiodensis;;;;メシオデンシス;;;;;;
o;mésiodensses;mesiodenses;;;;中間期;;;;;;
t;métal;metal;;;;メタル;;;;;;
pt;métal inoxydable;non-corrodible metal;;;;非腐食性金属;;;;;;
pt;métallique;metallic;;;;メタリック;;;;;;
o;métalliques;metal;;;;メタル;;;;;;
o;métaux inoxydables;stainless metals;;;;ステンレス金属;;;;;;
pt;nail biting;nail biting;;;;爪噛み;;;;;;
o;nails bitings;nails bitings;;;;爪の食い込み;;;;;;
pt;nanisme dentaire;dental dwarfism;;;;歯性小人症;;;;;;
o;nanismes dentaires;dental dwarfism;;;;歯性小人症;;;;;;
pt;nasal breathing;nasal breathing;;;;鼻呼吸;;;;;;
o;nasaux breathings;nasal breathings;;;;鼻呼吸;;;;;;
pt;nettoyage;cleaning;;;;クリーニング;;;;;;
pt;nettoyage dentaire;dental cleaning;;;;歯科クリーニング;;;;;;
o;nettoyages;cleaning;;;;クリーニング;;;;;;
o;nettoyages dentaires;dental cleanings;;;;歯のクリーニング;;;;;;
pt;neutrocclusion;neutrocclusion;;;;神経弛緩;;;;;;
o;neutrocclusionne;neutrocclusionne;;;;ニュートロクリュージョンネ;;;;;;
o;neutrocclusionnes;neutrocclusionnes;;;;ニュートロ;;;;;;
o;neutrocclusions;neutrocclusions;;;;神経弛緩症;;;;;;
pt;nickel-titane;nickel-titanium;;;;ニッケルチタン;;;;;;
o;nickel-titanes;nickel-titanium;;;;ニッケルチタン;;;;;;
t;niti;niti;;;;ニティ;;;;;;
pt;nitinol;nitinol;;;;ニチノール;;;;;;
o;nitinole;nitinole;;;;ニチノール;;;;;;
o;nitinoles;nitinoles;;;;ニチノール;;;;;;
o;nitinols;nitinols;;;;ニチノール;;;;;;
a;nocturne;night;;;;夜;;;;;;
a;nocturnes;nocturnal;;;;夜行性;;;;;;
pt;normocclusion;normocclusion;;;;正常咬合;;;;;;
o;normocclusionne;normocclusion;;;;正常咬合;;;;;;
o;normocclusionnes;normocclusion;;;;正常咬合;;;;;;
o;normocclusions;normocclusions;;;;非正規結論;;;;;;
pt;nécrose de la pulpe;pulp necrosis;;;;歯髄壊死;;;;;;
t;nécrose pulpaire;pulpal necrosis;;;;歯髄壊死;;;;;;
o;nécroses des las pulpes;necrosis of the pulp;;;;歯髄の壊死;;;;;;
pt;obstructive sleep apnea;obstructive sleep apnea;;;;閉塞性睡眠時無呼吸症候群;;;;;;
o;obstructives sleeps apneas;obstructive sleep apneas;;;;閉塞性睡眠時無呼吸;;;;;;
t;occlusion croisée;cross bite;;;;クロスバイト;;;;;;
pt;occlusion inverse;reverse bite;;;;リバースバイト;;;;;;
t;occlusion inversée;reverse bite;;;;リバースバイト;;;;;;
pt;occlusion normale;normal occlusion;;;;通常の閉塞;;;;;;
o;occlusions inverses;reverse occlusions;;;;逆咬合;;;;;;
o;occlusions inversées;reverse occlusions;;;;逆咬合;;;;;;
o;occlusions normales;normal occlusions;;;;通常の咬合;;;;;;
pt;oligodontie;oligodonty;;;;オリゴドンティ;;;;;;
o;oligodonties;oligodontia;;;;寡歯症;;;;;;
t;onychophagie;onychophagy;;;;異食症;;;;;;
pt;open bite;open cock;;;;オープンコック;;;;;;
pt;openbite;openbite;;;;オープンバイト;;;;;;
pt;opg;opg;;;;オッペグ;;;;;;
o;opgs;opgs;;;;OPG;;;;;;
o;opgue;opgue;;;;オプジーグ;;;;;;
o;opgues;opgues;;;;OPGues;;;;;;
pt;opération;operation;;;;操作;;;;;;
pt;opération mâchoire;jaw operation;;;;ジョー操作;;;;;;
o;opérationne;operationne;;;;オペレーション;;;;;;
o;opérationnes;operations;;;;オペレーション;;;;;;
o;opérations;operations;;;;オペレーション;;;;;;
o;opérations mâchoires;jaw operations;;;;ジョー・オペレーション;;;;;;
pt;orthognathic surgery;orthognathic surgery;;;;顎矯正手術;;;;;;
o;orthognathics surgerys;orthognathics surgerys;;;;顎矯正手術;;;;;;
pt;orthopantomogramme;orthopantomogram;;;;オルソパントモグラム;;;;;;
o;orthopantomogrammes;orthopantomograms;;;;オルソパントモグラム;;;;;;
pt;osa;osa;;;;オーエスエー;;;;;;
o;osas;osas;;;;OSAs（オーエスエーエス;;;;;;
pt;ostéoarthrite;osteoarthritis;;;;骨関節炎;;;;;;
o;ostéoarthrites;osteoarthritis;;;;骨関節炎;;;;;;
t;ostéotomie;osteotomy;;;;骨切り;;;;;;
pt;overbite;overbite;;;;出っ歯;;;;;;
pt;overjet;overjet;;;;オーバージェット;;;;;;
pt;overjet augmenté;overjet increased;;;;オーバージェットの増加;;;;;;
pt;pacifier;pacify;;;;なだめる;;;;;;
o;pacifiers;pacifiers;;;;おしゃぶり;;;;;;
o;pacifière;pacifier;;;;おしゃぶり;;;;;;
o;pacifières;pacifiers;;;;おしゃぶり;;;;;;
pt;pain;bread;;;;パン;;;;;;
o;paine;paine;;;;ペイン;;;;;;
o;paines;sheaths;;;;シース;;;;;;
o;pains;bread;;;;パン;;;;;;
t;panoramique;panoramic;;;;パノラマ;;;;;;
pt;panoramique dentaire;dental panoramic;;;;デンタル・パノラマ;;;;;;
o;panoramiques dentaires;dental panoramas;;;;デンタル・パノラマ;;;;;;
o;panoresse;panoresse;;;;パノレッセ;;;;;;
o;panoresses;panoramas;;;;パノラマ;;;;;;
pt;panorex;panorex;;;;パノレックス;;;;;;
pa;parfait;perfect;;;;パーフェクト;;;;;;
pa;parfaite;perfect;;;;パーフェクト;;;;;;
pa;parfaites;perfect;;;;パーフェクト;;;;;;
pa;parfaits;perfect;;;;パーフェクト;;;;;;
pt;parler;speak;;;;話す;;;;;;
o;parlers;languages;;;;言語;;;;;;
o;parlère;parlère;;;;パレール;;;;;;
o;parlères;talk;;;;トーク;;;;;;
pt;parodontite;periodontitis;;;;歯周炎;;;;;;
o;parodontites;periodontitis;;;;歯周炎;;;;;;
pt;parodontopathie;periodontal disease;;;;歯周病;;;;;;
o;parodontopathies;periodontal disease;;;;歯周病;;;;;;
pt;parole;word;;;;単語;;;;;;
o;paroles;words;;;;言葉;;;;;;
t;pendulum;pendulum;;;;振り子;;;;;;
pt;periodontal disease;periodontal disease;;;;歯周病;;;;;;
o;periodontaux diseases;periodontal diseases;;;;歯周病;;;;;;
pt;permanent dentition;permanent teeth;;;;永久歯;;;;;;
o;permanents dentitions;permanent teeth;;;;永久歯;;;;;;
pt;permutation dentaire;dental permutation;;;;歯列順列;;;;;;
o;permutations dentaires;dental permutations;;;;デンタルパーマ;;;;;;
pt;perte de dents;tooth loss;;;;歯の喪失;;;;;;
o;pertes des dents;tooth loss;;;;歯の喪失;;;;;;
pt;petite molaire;small molar;;;;小臼歯;;;;;;
pt;petite mâchoire;small jaw;;;;小顎;;;;;;
o;petites molaires;small molars;;;;小臼歯;;;;;;
o;petites mâchoires;small jaws;;;;小顎;;;;;;
t;phonation;phonation;;;;フォネーション;;;;;;
o;pic;peak;;;;ピーク;;;;;;
o;pics;peaks;;;;ピーク;;;;;;
o;pique;pic;;;;ピック;;;;;;
o;piques;spades;;;;スペード;;;;;;
o;plaque;plate;;;;プレート;;;;;;
t;plaque amovible;removable plate;;;;取り外し可能なプレート;;;;;;
pt;plaque de contention;support plate;;;;サポートプレート;;;;;;
pt;plaque orthodontique;orthodontic plate;;;;歯列矯正プレート;;;;;;
o;plaques;plates;;;;皿;;;;;;
o;plaques des contentions;restraint plates;;;;拘束板;;;;;;
o;plaques orthodontiques;orthodontic plates;;;;歯列矯正プレート;;;;;;
pt;polissage interproximal;interproximal polishing;;;;歯間研磨;;;;;;
o;polissages interproximaux;interproximal polishing;;;;歯間研磨;;;;;;
pt;popping;popping;;;;ポッピング;;;;;;
o;poppings;poppings;;;;ポッピング;;;;;;
o;poppingue;poppingue;;;;ポッピングエ;;;;;;
o;poppingues;poppingues;;;;パップ;;;;;;
o;position de la mandibule;position of the mandible;;;;下顎の位置;;;;;;
o;position du maxillaire;position of the jaw;;;;顎の位置;;;;;;
pt;position ectopique;ectopic position;;;;子宮外;;;;;;
pt;position linguale basse;low lingual position;;;;舌側低位;;;;;;
o;position mandibulaire;mandibular position;;;;下顎位;;;;;;
o;position maxillaire;jaw position;;;;顎位;;;;;;
o;positions des las mandibules;positions of the mandibles;;;;大あごの位置;;;;;;
o;positions dus maxillaires;maxillary positions;;;;顎位;;;;;;
o;positions ectopiques;ectopic positions;;;;異所性;;;;;;
o;positions linguales basses;low lingual positions;;;;舌側低位;;;;;;
o;positions mandibulaires;mandibular positions;;;;下顎位;;;;;;
o;positions maxillaires;jaw positions;;;;顎位;;;;;;
o;post-traumatique;post-traumatic;;;;心的外傷後;;;;;;
o;post-traumatiques;post-traumatic;;;;心的外傷後;;;;;;
a;postérieur;back;;;;バック;;;;;;
a;postérieurs;posterior;;;;後;;;;;;
o;postérieuse;rear;;;;リア;;;;;;
o;postérieuses;posteriors;;;;後席;;;;;;
pt;pouce;thumb;;;;親指;;;;;;
o;pouces;inches;;;;インチ;;;;;;
pt;poussée linguale;lingual thrust;;;;舌側スラスト;;;;;;
o;poussées linguales;lingual thrusts;;;;舌突き;;;;;;
pt;powerscope;powerscope;;;;パワースコープ;;;;;;
o;premier;first;;;;第一;;;;;;
o;premiers;first;;;;第一;;;;;;
o;première;first;;;;第一;;;;;;
o;premières;first;;;;第一;;;;;;
pt;premolaire;premolar;;;;前臼歯;;;;;;
o;premolaires;premolars;;;;前歯;;;;;;
o;primaire;primary;;;;プライマリー;;;;;;
o;primaires;primary;;;;プライマリー;;;;;;
pt;primary dentition;primary dentition;;;;第一次歯列;;;;;;
o;primarys dentitions;primarys dentitions;;;;乳歯列;;;;;;
pt;prise d'empreinte;impression taking;;;;インプレッション・テイキング;;;;;;
o;prises d'empreintes;fingerprinting;;;;指紋押捺;;;;;;
t;proalvéolie;proalveolysis;;;;前弁膜溶解;;;;;;
pt;problème;problem;;;;問題;;;;;;
pt;problème d'occlusion;bite problem;;;;噛み合わせの問題;;;;;;
o;problèmes;problems;;;;問題点;;;;;;
o;problèmes d'occlusions;occlusion problems;;;;咬合の問題;;;;;;
pt;prochéilie;project;;;;プロジェクト;;;;;;
o;prochéilies;procheilies;;;;家族;;;;;;
pt;proclusion;proclusion;;;;プロージョン;;;;;;
o;proclusionne;proclusionne;;;;プロージョンヌ;;;;;;
o;proclusionnes;proclusionnes;;;;プロージョンネス;;;;;;
o;proclusions;proclusions;;;;禁止事項;;;;;;
pt;profil;profile;;;;プロフィール;;;;;;
o;profille;profille;;;;プロフィーユ;;;;;;
o;profilles;profiles;;;;プロフィール;;;;;;
o;profils;profiles;;;;プロフィール;;;;;;
t;proglissement;slippage;;;;ずれ;;;;;;
pt;proglissement fonctionnel;functional sliding;;;;機能的スライディング;;;;;;
pt;proglissement mandibulaire;mandibular slippage;;;;下顎すべり症;;;;;;
o;proglissemente;proglissemente;;;;プログロッセメンテ;;;;;;
o;proglissementes;slides;;;;スライド;;;;;;
o;proglissements;slippage;;;;ずれ;;;;;;
o;proglissements fonctionnels;functional slides;;;;機能スライド;;;;;;
o;prognathie;prognathia;;;;予後;;;;;;
pt;prognathie dentaire;overshot teeth;;;;オーバーショット;;;;;;
pt;prognathie mandibulaire;mandibular prognathia;;;;下顎前突症;;;;;;
pt;prognathie maxillaire;maxillary prognathia;;;;上顎前突症;;;;;;
o;prognathies dentaires;overshot teeth;;;;オーバーショット;;;;;;
o;prognathies mandibulaires;mandibular prognathia;;;;下顎前突症;;;;;;
o;prognathies maxillaires;maxillary prognathia;;;;上顎前突症;;;;;;
t;prognathisme mandibulaire;overshot mandible;;;;下顎;;;;;;
t;prognathisme maxillaire;overshot mouth;;;;下顎;;;;;;
a;programmé;programmed;;;;予定通り;;;;;;
a;programmée;programmed;;;;予定通り;;;;;;
a;programmées;programmed;;;;予定通り;;;;;;
a;programmés;programmed;;;;予定通り;;;;;;
pt;proinclinaison;proinclination;;;;性向;;;;;;
o;proinclinaisonne;proinclinaisonne;;;;プロインクリネゾンヌ;;;;;;
o;proinclinaisonnes;proinclinaisonnes;;;;プロインクリネゾンネス;;;;;;
o;proinclinaisons;proinclinations;;;;性癖;;;;;;
o;projection;projection;;;;投影;;;;;;
pt;projection en avant;forward projection;;;;前方投影;;;;;;
o;projectionne;projectionne;;;;プロジェクション;;;;;;
o;projectionnes;projections;;;;プロジェクション;;;;;;
o;projections;projections;;;;プロジェクション;;;;;;
o;projections ens avants;projections ens avants;;;;プロジェクション・アンセ・アヴァンス;;;;;;
pa;prononcé;pronounced;;;;色濃い;;;;;;
pa;prononcée;pronounced;;;;色濃い;;;;;;
pa;prononcées;pronounced;;;;色濃い;;;;;;
pa;prononcés;pronounced;;;;色濃い;;;;;;
pt;prophylaxie;prophylaxis;;;;予防;;;;;;
o;prophylaxies;prophylaxis;;;;予防;;;;;;
pt;propulseur classe ii;class ii propellant;;;;クラスIIエンジン;;;;;;
t;propulsor;propulsor;;;;すいしんき;;;;;;
t;protrusion;protrusion;;;;突出;;;;;;
o;protrusionne;protrudes;;;;出っ張る;;;;;;
o;protrusionnes;protrusion;;;;突出;;;;;;
o;protrusions;protrusions;;;;突起物;;;;;;
t;prémolaire;premolar;;;;前臼歯;;;;;;
o;pubertaire;puberty;;;;思春期;;;;;;
o;pubertaires;puberty;;;;思春期;;;;;;
pt;pulpe nécrosée;necrotic pulp;;;;壊死性パルプ;;;;;;
o;pulpes nécrosées;necrotic pulp;;;;壊死性パルプ;;;;;;
t;quad helix;quad helix;;;;クワッドヘリックス;;;;;;
o;quadri-hélisse;four-coat;;;;フォーコート;;;;;;
o;quadri-hélisses;quad helix;;;;クワッドヘリックス;;;;;;
pt;quadri-hélix;quadri-helix;;;;クアドリヘリックス;;;;;;
o;quads helix;helix quad bikes;;;;ヘリックス四輪バイク;;;;;;
pt;quatrième;fourth;;;;第四;;;;;;
o;quatrièmes;fourth;;;;第四;;;;;;
pt;raccourcissement radiculaire;root shortening;;;;ルート・ショートニング;;;;;;
o;raccourcissements radiculaires;root shortening;;;;ルート・ショートニング;;;;;;
pt;racine qui se résorbe;resorbing root;;;;吸収根;;;;;;
o;racines quis ses résorbes;roots that are resorbed;;;;吸収された根;;;;;;
pt;radio;radio;;;;ラジオ;;;;;;
pt;radio de profil;profile radio;;;;プロフィールラジオ;;;;;;
pt;radio panoramique;panoramic radio;;;;パノラマ・ラジオ;;;;;;
pt;radiographie;radiography;;;;ラジオグラフィー;;;;;;
pt;radiographie de profil;profile radiography;;;;プロファイルX線撮影;;;;;;
pt;radiographie panoramique;panoramic radiograph;;;;パノラマX線写真;;;;;;
o;radiographies;radiographs;;;;レントゲン写真;;;;;;
o;radiographies des profils;profile radiographs;;;;プロファイルX線写真;;;;;;
o;radiographies panoramiques;panoramic radiographs;;;;パノラマX線写真;;;;;;
o;radios;radios;;;;ラジオ;;;;;;
o;radios des profils;profile radios;;;;プロファイル無線機;;;;;;
o;radios panoramiques;panoramic radiographs;;;;パノラマX線写真;;;;;;
pt;receding gums;receding gums;;;;歯茎の後退;;;;;;
